Số/ký hiệu,Ngày ban hành,Trích yếu,Cơ quan ban hành,Đính kèm
789/QĐ-VP,01/12/2020,V/v bổ nhiệm có thời hạn bà Trần Quỳnh Trang - Phó trưởng phòng Thư ký - Tổng hợp giữ chức vụ Trưởng Phòng Thư ký - Tổng hợp,Văn phòng Ủy ban nhân dân tỉnh,
4456/QĐ-UBND,01/12/2020,"V/v điều động và bổ nhiệm có thời hạn ông Nguyễn Việt Hùng, Thành ủy viên, Phó Chủ tịch UBND thành phố Hạ Long giữ chức vụ Phó Giám đốc Sở Xây dựng",UBND tỉnh Quảng Ninh,
40/2020/QĐ-UBND,01/12/2020,V/v quy định quản lý Nhà nước về giá trên địa bàn tỉnh Quảng Ninh,UBND tỉnh Quảng Ninh,
2434/QĐ-SGDĐT,01/12/2020,QĐ công nhận và cấp Bằng công nhận Trường Mầm non Thị trấn Bình Liêu đạt chuẩn quốc gia Mức độ 2,Sở Giáo Dục và Đào Tạo,
3269/SGDĐT-KHTC,01/12/2020,"Rà soát, đánh giá hiện trạng các phòng học bán kiên cố, tạm, mượn",Sở Giáo Dục và Đào Tạo,
8168/UBND-CN2,30/11/2020,V/v triển khai thực hiện Quyết định số 1881/QĐ-TTg của Thủ tướng Chính phủ,UBND tỉnh Quảng Ninh,
208/KH-UBND,30/11/2020,"Kế hoạch Tổ chức Tuần giới thiệu sản phẩm thủy sản, OCOP và xúc tiến du lịch Quảng Ninh 2020 tại Hà Đông, Hà Đông, Hà Nội",UBND tỉnh Quảng Ninh,
244/BC-UBND,30/11/2020,"Báo cáo tình hình, kết quả thực hiện Chỉ số cải thiện chất lượng các quy định của pháp luật",UBND tỉnh Quảng Ninh,
8190/UBND-GD,30/11/2020,"V/v tiếp tục triển khai những kết quả, nhiệm vụ phù hợp của Đề án 404",UBND tỉnh Quảng Ninh,
772/QĐ-VP,30/11/2020,"V/v phân công công việc chuyên môn đối với chuyên viên Phòng Văn hóa - Xã hội trực thuộc Văn phòng Đoàn ĐBQH, HĐND và UBND tỉnh",UBND tỉnh Quảng Ninh,
305/TB-PTQĐ,27/11/2020,"Về việc lựa chọn đơn vị đấu giá quyền sử dụng đất ở thuộc Khu dân cư tự xây Thống Nhất 3, phường Tân An, thị xã Quảng Yên",UBND Thị xã Quảng Yên,
8150/UBND-CN,27/11/2020,"V/v quản lý chặt chẽ, đảm bảo an toàn tại mỏ đá phường Quang Hanh, thành phố Cẩm Phả",UBND tỉnh Quảng Ninh,
8160/UBND-TM1,27/11/2020,"V/v hoạt động kinh doanh TNTX, CK, KNQ tại thành phố Móng Cái",UBND tỉnh Quảng Ninh,
850/HĐND-TH5,27/11/2020,V/v đảm bảo các điều kiện phục vụ kỳ họp thứ 21 HĐND tỉnh khóa XIII,,
8113/UBND-XD6,26/11/2020,"V/v triển khai đề án ""Tuyên truyền nâng cao nhận thức và phổ biến kiến thức về an toàn thông tin giai đoạn 2021-2025'",UBND tỉnh Quảng Ninh,
8122/UBND-TH2,26/11/2020,V/v giao nhiệm vụ cho các đơn vị triển khai thực hiện kết luận của Ban Chấp hành Đảng bộ tỉnh tại Thông báo số 1923-TB/TU,UBND tỉnh Quảng Ninh,
241/BC-UBND,26/11/2020,"Tình hình kinh tế - xã hội và công tác chỉ đạo, điều hành của UBND tỉnh năm 2020, kế hoạch phát triển kinh tế - xã hội năm 2021",UBND tỉnh Quảng Ninh,
4396/QĐ-UBND,26/11/2020,V/v thành lập Tổ chăm sóc nhà đầu tư trực thuộc Tổ công tác PCI của tỉnh Quảng Ninh,UBND tỉnh Quảng Ninh,
4412/QĐ-UBND,26/11/2020,"V/v thanh tra, kiểm tra các doanh nghiệp trên địa bàn tỉnh Quảng Ninh năm 2021",UBND tỉnh Quảng Ninh,
4408/QĐ-UBND,26/11/2020,Hủy bỏ Quyết định số 4999/QĐ-UBND ngày 25/12/2017 của UBND tỉnh Quảng Ninh công bố Bảng giá ca máy và thiết bị thi công xây dựng công trình trên địa bàn tỉnh Quảng Ninh,UBND tỉnh Quảng Ninh,
8140/UBND-TM1,26/11/2020,"V/v tổ chức Tuần thủy sản, sản phẩm OCOP và xúc tiến thương mại - du lịch Quảng Ninh",UBND tỉnh Quảng Ninh,
242/BC-UBND,26/11/2020,Báo cáo Kế hoạch phát triển kinh tế - xã hội 5 năm 2021 - 2025,UBND tỉnh Quảng Ninh,
189/TB-UBND,26/11/2020,"TB Kết luận chỉ đạo của đồng chí Nguyễn Tường Văn, Chủ tịch UBND tỉnh tại buổi làm việc với Tập thể lãnh đạo, cán bộ, viên chức của Ban Xúc tiến và Hỗ trợ đầu tư ngày 17/11/2020",UBND tỉnh Quảng Ninh,
4411/QĐ-UBND,26/11/2020,"V/v phê duyệt Báo cáo đánh giá tác động môi trường của Dự án Đầu tư xây dựng và kinh doanh hạ tầng kỹ thuật Cụm công nghiệp Cẩm Thịnh, thành phố Cẩm Phả",UBND tỉnh Quảng Ninh,
3190/TB-SGDĐT,25/11/2020,"Thông báo số 2 về tổ chức Hội thi Tuyên truyền, giáo dục ATGT năm học 2020-2021",Sở Giáo Dục và Đào Tạo,
8101/UBND-NLN3,25/11/2020,V.v đôn đốc thực hiện chỉ đạo của UBND tỉnh tại văn bản số 6022/UBND-NLN3 ngày 21/8/2020,UBND tỉnh Quảng Ninh,
240/BC-UBND,25/11/2020,"BC Tổng kết công tác tư pháp năm 2020 và phương hướng, nhiệm vụ, giải pháp công tác năm 2021",UBND tỉnh Quảng Ninh,
3184/KH-SGDĐT,24/11/2020,"Kế hoạch tập huấn cho cán bộ, giáo viên làm công tác tư vấn tâm lý học đường và xây dựng văn hóa ứng xử trong trường học",Sở Giáo Dục và Đào Tạo,
3183/KH-SGDĐT,24/11/2020,"Tập huấn tuyên truyền, phổ biến giáo dục pháp luật về phòng cháy, chữa cháy, công tác phòng chống cháy nổ và cứu nạn cứu hộ",Sở Giáo Dục và Đào Tạo,
2365/QĐ-SGDĐT,24/11/2020,"Về việc thành lập Ban Tổ chức Hội thi Giáo viên dạy giỏi cấp tiểu học tỉnh Quảng Ninh, năm học 2020-2021",Sở Giáo Dục và Đào Tạo,
8050/UBND-XD6,24/11/2020,"V/v kế hoạch tăng cường triển khai cung cấp dịch vụ công trực tuyến mức độ 4 của cơ quan, đơn vị, địa phương trên địa bàn tỉnh",UBND tỉnh Quảng Ninh,
12/CT-UBND,24/11/2020,"V/v tăng cường công tác phòng, chống tội phạm; phòng, chống cháy, nổ; bảo đảm vệ sinh an toàn thực phẩm; đảm bảo trật tự an toàn giao thông, an toàn lao động và hoạt động khai thác, tập kết, chế biến, vận chuyển và kinh doanh than 02 tháng cuối năm 2020 và Quý I/2021",UBND tỉnh Quảng Ninh,
8058/UBND-TH2,24/11/2020,"V.v đốn đốc thực hiện các nội dung chỉ đạo của UBND tỉnh, Chủ tịch UBND tỉnh",UBND tỉnh Quảng Ninh,
8075/UBND-VX1,24/11/2020,V/v công tác quản lý và tổ chức lễ hội năm 2021,UBND tỉnh Quảng Ninh,
4372/QĐ-UBND,24/11/2020,"V/v đóng cửa mỏ sét làm nguyên liệu cho Nhà máy xi măng Hà Tu tại phường Quang hanh, thành phố Cẩm Phả, tỉnh Quảng Ninh của Công ty cổ phần Xi măng và Xây dựng Quảng Ninh",UBND tỉnh Quảng Ninh,
4376/QĐ-UBND,24/11/2020,"V/v tặng Bằng khen cho 15 tập thể, 03 cá nhân có thành tích xuất sắc trong thực hiện công tác vận động hiến máu tình nguyện giai đoạn 2016-2020 theo Chỉ thị số 08/CT-UBND ngày 13/4/2016 của UBND tỉnh Quảng Ninh",UBND tỉnh Quảng Ninh,
4377/QĐ-UBND,24/11/2020,"V/v tặng Bằng khen cho 08 gia đình, 15 cá nhân có thành tích tiêu biểu trong công tác hiến máu tình nguyện năm 2020",UBND tỉnh Quảng Ninh,
8033/UBND-VX1,23/11/2020,"V/v tuyên truyền, phổ biến giáo dục pháp luật về phòng chống tham nhũng bằng hình thức sân khấu hóa",UBND tỉnh Quảng Ninh,
238/BC-UBND,23/11/2020,"BC Tổng kết thực hiện Chương trình phòng, chống tội phạm đến năm 2020",UBND tỉnh Quảng Ninh,
4369/QĐ-UBND,23/11/2020,"V/v phê duyệt danh mục công trình cải tạo, sửa chữa của các đơn vị thuộc Sở Y tế",UBND tỉnh Quảng Ninh,
187/TB-UBND,20/11/2020,"Thông báo kết luận của đồng chí Phó Chủ tịch UBND tỉnh tại buổi họp chỉ đạo về Đề án phát triển nguồn nhân lực tỉnh Quảng Ninh giai đoạn 2021 - 2025, tầm nhìn đến năm 2030",UBND tỉnh Quảng Ninh,
8000/UBND-VX1,20/11/2020,"V/v tổ chức xét tặng danh hiệu ""Nghệ sỹ vùng mỏ"" lần thứ VIII năm 2020",UBND tỉnh Quảng Ninh,
4338/QĐ-UBND,20/11/2020,"V/v phê chuẩn kết quả bầu bổ sung chức vụ Chủ tịch UBND thành phố Móng Cái khóa XX, nhiệm kỳ 2016-2021",UBND tỉnh Quảng Ninh,
4356/QĐ-UBND,20/11/2020,"V.v bổ nhiệm có thời hạn ông Nguyễn Văn Công, Ủy viên Ban Chấp hành Đảng bộ tỉnh, Phó Giám đốc Sở NN&PTNT giữ chức vụ Giám đốc Sở Nông nghiệp và PTNT",UBND tỉnh Quảng Ninh,
4358/QĐ-UBND,20/11/2020,"V/v phê chuẩn kết quả bầu bổ sung chức vụ Chủ tịch UBND thành phố Hạ Long khóa I, nhiệm kỳ 2016-2021",UBND tỉnh Quảng Ninh,
186/TB-UBND,19/11/2020,Thông báo Kết quả tiếp công dân ngày 16 tháng 11 năm 2020 tại Trụ sở Tiếp công dân của tỉnh,UBND tỉnh Quảng Ninh,
4315/QĐ-UBND,19/11/2020,"Vv giải quyết khiếu nại của ông Nguyễn Văn Cảnh, trú tại khu 2, phường Hải Yên, thành phố Móng Cái (lần 2)",UBND tỉnh Quảng Ninh,
4316/QĐ-UBND,19/11/2020,"V/v giải quyết khiếu nại của ông Nguyễn Văn Quyết trú tại khu 2, phường Hải Yên, thành phố Móng Cái (lần 2)",UBND tỉnh Quảng Ninh,
4317/QĐ-UBND,19/11/2020,"V/v giải quyết khiếu nại của ông Vũ Văn Nhường, trú tại khu 2, phường Hải Yên, thành phố Móng Cái (lần 2)",UBND tỉnh Quảng Ninh,
4318/QĐ-UBND,19/11/2020,"V/v giải quyết khiếu nại của ông Phùng Văn Đặng, trú tại khu 2, phường Hải Yên, thành phố Móng Cái (lần 2)",UBND tỉnh Quảng Ninh,
4319/QĐ-UBND,19/11/2020,"V/v giải quyết khiếu nại của ông Nguyễn Phú Tuế, trú tại khu 2, phường Hải Yên, thành phố Móng Cái (lần2)",UBND tỉnh Quảng Ninh,
4321/QĐ-UBND,19/11/2020,"V/v giải quyết khiếu nại của ông Nguyễn Văn Truyền, trú tại tổ 2B, khu 9A, phường Bãi Cháy, thành phố Hạ Long (lần 2)",UBND tỉnh Quảng Ninh,
3141/SGD&ĐT-CTTT,18/11/2020,"Tăng cường công tác đảm bảo an ninh, an toàn trường học, phòng chống tai nạn thương tích và đảm bảo an toàn cho học sinh",Sở Giáo Dục và Đào Tạo,
2345/QĐ-SGDĐT,18/11/2020,QUYẾT ĐỊNH Cử đại biểu dự tập huấn thường xuyên dành cho giáo viên tiếng Pháp cấp trung học,Sở Giáo Dục và Đào Tạo,
7870/UBND-NLN3,18/11/2020,"V/v theo dõi, ứng phó thời tiết nguy hiểm, thiên tai cuối năm 2020",UBND tỉnh Quảng Ninh,
7878/UBND-XD6,18/11/2020,V/v đánh giá triển khai thử nghiệm mô hình trung tâm điều hành thành phố thông minh trên địa bàn tỉnh Quảng Ninh,UBND tỉnh Quảng Ninh,
7883/UBND-NLN3,18/11/2020,V/v kiểm soát bệnh Viêm da nổi cục trên địa bàn tỉnh Quảng Ninh,UBND tỉnh Quảng Ninh,
203/KH-UBND,18/11/2020,"Kế hoạch thực hiện Chương trình quốc gia hỗ trợ doanh nghiệp nâng cao năng suất và chất lượng sản phẩm, hàng hóa giai đoạn 2021 - 2030 trên địa bàn tỉnh Quảng Ninh",UBND tỉnh Quảng Ninh,
204/KH-UBND,18/11/2020,Kế hoạch phát triển kinh tế tập thể tỉnh Quảng Ninh giai đoạn 2021 - 2025,UBND tỉnh Quảng Ninh,
205/KH-UBND,18/11/2020,Kế hoạch triển khai thực hiện Quyết định số 1336/QĐ-TTg ngày 31/8/2020 của Thủ tướng Chính phủ phê duyệt Đề án nhân rộng mô hình Câu lạc bộ Liên thế hệ tự giúp nhau giai đoạn đến năm 2025,UBND tỉnh Quảng Ninh,
4300/QĐ-UBND,18/11/2020,"Bổ sung kế hoạch nghiên cứu các địa điểm khu vực thăm dò, khai thác, sử dụng đất làm vật liệu san lấp trên địa bàn tỉnh Quảng Ninh giai đoạn 2020-2025",UBND tỉnh Quảng Ninh,
7834/UBND-DL1,17/11/2020,V.v kiểm tra phòng chống dịch COVID-19,UBND tỉnh Quảng Ninh,
739/QĐ-VP,17/11/2020,"Về việc phân công công việc chuyên môn đối với Phòng Kinh tế - Tài chính trực thuộc Văn phòng Đoàn ĐBQH, HĐND và UBND tỉnh",UBND tỉnh Quảng Ninh,
202/KH-UBND,17/11/2020,"Kế hoạch triển khai xác định Chỉ số cải cách hành chính của các Sở, ban, ngành, UBND các huyện, thị xã, thành phố và cơ quan Trung ương đóng trên địa bàn tỉnh Quảng Ninh năm 2020",UBND tỉnh Quảng Ninh,
227/BC-UBND,17/11/2020,"Báo cáo nhanh tình hình kinh tế - xã hội năm 2020, định hướng kế hoạch phát triển kinh tế - xã hội năm 2021 (Tài liệu phục vụ Đại biểu HĐND tỉnh tiếp xúc cử tri kỳ họp cuối năm 2020",UBND tỉnh Quảng Ninh,
3091/SGDĐT-GDTrH,16/11/2020,Hướng dẫn dạy học môn Ngữ văn cấp Trung học từ năm học 2020 -2021,Sở Giáo Dục và Đào Tạo,
3090/BC-SGDĐT,16/11/2020,"Báo cáo Kết quả thực hiện Phong trào ""Toàn dân đoàn kết xây dựng đời sống văn hoá"" năm 2020",Sở Giáo Dục và Đào Tạo,
2704/UBND-NNPTNT,16/11/2020,"V/v tăng cường công tác quản lý, bảo vệ rừng, phòng cháy, cháy rừng trên địa bàn huyện Hải Hà",UBND Huyện Hải Hà,
3050/SGDĐT-VP,12/11/2020,Một số nội dung thi đua khen thưởng năm học 2020-2021,Sở Giáo Dục và Đào Tạo,
7710/UBND-XD6,12/11/2020,V/v hoạt động tấn công mạng khai thác lỗ hổng bảo mật trên thiết bị DrayTek,UBND tỉnh Quảng Ninh,
4215/QĐ-UBND,12/11/2020,"V.v phê chuẩn kết quả miễn nhiệm nhiệm vụ chức vụ Chủ tịch UBND huyện Cô tô khóa V, nhiệm kỳ 2016-2021",UBND tỉnh Quảng Ninh,
4216/QĐ-UBND,12/11/2020,"V/v phê chuẩn kết quả bầu bổ sung chức vụ Chủ tịch UBND huyện Cô Tô khóa V, nhiệm kỳ 2016-2021",UBND tỉnh Quảng Ninh,
4217/QĐ-UBND,12/11/2020,"V/v phê duyệt Báo cáo đánh giá tác động môi trường của Dự án Cấp nước sinh hoạt, sản xuất tập trung cho 4 xã vùng cao (xã Lương Mông, Minh Cầm, Đạp Thanh và Thanh Lâm) huyện Ba Chẽ, tỉnh Quảng Ninh của UBND huyện Ba Chẽ",UBND tỉnh Quảng Ninh,
4223/QĐ-UBND,12/11/2020,Công nhận mức độ ảnh hưởng của sáng kiến cấp tỉnh làm căn cứ xét tặng các danh hiệu thi đua và hình thức khen thưởng,UBND tỉnh Quảng Ninh,
7680/UBND-TH5,11/11/2020,V/v tiếp nhận Bệnh viện Việt Nam - Thụy Điển Uông Bí trực thuộc Bộ Y tế về UBND tỉnh quản lý,UBND tỉnh Quảng Ninh,
3037H-SGDĐT,11/11/2020,Kiểm tra việc thực hiện nhiệm vụ năm học tại các Trung tâm GDNN-GDTX,Sở Giáo Dục và Đào Tạo,
3038/SGDĐT-KHTC,11/11/2020,Tổ chức Hội nghị trực tuyến xin ý kiến xây dựng Nghị quyết quy định các khoản,Sở Giáo Dục và Đào Tạo,
3039/SGDĐT-TTr,11/11/2020,Giới thiệu cộng tác viên thanh tra tham gia thanh tra,Sở Giáo Dục và Đào Tạo,
199/KH-UBND,11/11/2020,"KH Triển khai đánh giá Chỉ số hiệu quả quản trị (DGI) của các huyện, thị xã, thành phố trên địa bàn tỉnh năm 2020",UBND tỉnh Quảng Ninh,
7684/UBND-NC,11/11/2020,V.v tăng cường chỉ đạo công tác khám sức khỏe thực hiện nghĩa vụ quân sự năm 2021,UBND tỉnh Quảng Ninh,
181/BC-ĐĐHĐND,11/11/2020,Báo cáo kết quả thực hiện quy chế dân chủ năm 2020,HĐND tỉnh Quảng Ninh,
4207/QĐ-UBND,11/11/2020,"V/v phân khai chi tiết nguồn vốn ngân sách tỉnh thực hiện dự án ""Hỗ trợ Giải phóng mặt bằng tuyến đường ven biển đoạn trên địa bàn tỉnh Quảng Ninh""",UBND tỉnh Quảng Ninh,
4206/QĐ-UBND,11/11/2020,"V/v điều chỉnh, bổ sung kế hoạch đầu tư công trung hạn vốn ngân sách cấp tỉnh giai đoạn 2016-2020",UBND tỉnh Quảng Ninh,
4204/QĐ-UBND,11/11/2020,"V/v hủy bỏ Quy hoạch chi tiết xây dựng tỷ lệ 1/500 Khu dân cư đô thị tại phường Hà Khánh, thành phố Hạ Long đã được UBND tỉnh phê duyệt tại Quyết định số 1822/QĐ-UBND ngày 10/6/2009",UBND tỉnh Quảng Ninh,
4203/QĐ-UBND,11/11/2020,"V.v ủy quyền cấp giấy chứng nhận quyền sử dụng đất, quyền sở hữu nhà ở và tài sản khác gắn liền với đất thuộc thẩm quyền của UBND tỉnh Quảng Ninh cho Giám đốc Sở Tài nguyên và Môi trường",UBND tỉnh Quảng Ninh,
3033/SGDĐT-TCCB,10/11/2020,Triệu tập GVPTCC tham gia lớp bồi dưỡng Mô đun 3 năm 2020,Sở Giáo Dục và Đào Tạo,
3028/SGDĐT-GDTrH,10/11/2020,Triệu tập giáo viên tham dự Kỳ thi đánh giá năng lực ngoại ngữ cuối khóa bồi dưỡng theo Đề án NNQG 2020,Sở Giáo Dục và Đào Tạo,
7651/UBND-MT,10/11/2020,"V/v tiếp tục tăng cường kiểm tra, giám sát đối với các cơ sở có nguy cơ gây ô nhiễm môi trường, cơ sở xử lý chất thải nguy hại trên địa bàn tỉnh",UBND tỉnh Quảng Ninh,
183/TB-UBND,10/11/2020,"V/v giao ông Hoàng Trung Kiên, Phó trưởng Ban Quản lý Khu kinh tế Quảng Ninh điều hành Ban Quản lý Khu kinh tế Quảng Ninh",UBND tỉnh Quảng Ninh,
184/TB-UBND,10/11/2020,"V/v giao ông Nguyễn Văn Công, Tỉnh ủy viên, Phó Giám đốc Sở Nông nghiệp và PTNT điều hành Sở Nông nghiệp và PTNT",UBND tỉnh Quảng Ninh,
2630/UBND-VP,09/11/2020,V/v triển khai thực hiện Công văn số 01-CV/BCĐ ngày 06/11/2020 của BCĐ phòng chống dịch bệnh Covid-19 tỉnh Quảng Ninh,UBND Huyện Hải Hà,
3011/SGDĐT-CTTT,09/11/2020,"Về việc tăng cường phòng, chống dịch COVID-19",Sở Giáo Dục và Đào Tạo,
3018/SGDĐT-TCCB,09/11/2020,Rà soát nhu cầu hợp đồng lao động năm học 2020-2021,Sở Giáo Dục và Đào Tạo,
3012/SGDĐT-GDMN,09/11/2020,Thông báo kết quả thẩm định hồ sơ giáo viên tham dự Hội thi giáo viên dạy giỏi cơ sở GDMN cấp tỉnh Năm 2020,Sở Giáo Dục và Đào Tạo,
7608/UBND-TH1,09/11/2020,Vv thực hiện một số nhiệm vụ kiểm soát thủ tục hành chính,UBND tỉnh Quảng Ninh,
7615/UBND-XD4,09/11/2020,V.v thực hiện chỉ đạo của UBND tỉnh đối với dự án Khu đô thị phía Bắc cầu Bang do Công ty cổ phần thống nhất 508 thực hiện,UBND tỉnh Quảng Ninh,
197/KH-UBND,09/11/2020,"Kế hoạch Triển khai thi hành ""Luật sửa đổi, bổ sung một số điều của Luật Giám định tư pháp"" trên địa bàn tỉnh Quảng Ninh",UBND tỉnh Quảng Ninh,
182/TB-UBND,09/11/2020,Thông báo kết luận chỉ đạo của đồng chí Bùi Văn Khắng - PCT UBND tỉnh tại buổi họp chỉ đạo xây dựng Chương trình Xúc tiến đầu tư năm 2021 của tỉnh Quảng Ninh,UBND tỉnh Quảng Ninh,
2639/UBND-LĐTBXH,09/11/2020,Về việc thực hiện hỗ trợ người dân gặp khó khăn do đại dịch Covid-19,UBND Huyện Hải Hà,
354/TB-ĐĐBQH,09/11/2020,Kế hoạch tiếp xúc cử tri sau kỳ họp thứ 10 QH khóa XIV,Đoàn ĐBQH tỉnh,
180/TB-UBND,06/11/2020,V/v giới thiệu chức danh và chữ ký Chủ tịch UBND tỉnh Quảng Ninh nhiệm kỳ 2016 - 2021,UBND tỉnh Quảng Ninh,
3005/SGDĐT-GDTrH,06/11/2020,Định hướng nội dung ôn tập và cấu trúc đề thi học sinh giỏi lớp 9 và lớp 12 môn Địa lí từ năm học 2020 – 2021,Sở Giáo Dục và Đào Tạo,
3001/SGDĐT-GDTH,06/11/2020,Phục vụ Hội nghị tập huấn sử dụng bộ thiết bị phòng ngoại ngữ,Sở Giáo Dục và Đào Tạo,
2304/QĐ-SGDĐT,06/11/2020,Về việc thành lập Ban Tổ chức Hội thi giáo viên dạy giỏi cơ sở giáo dục mầm non cấp tỉnh năm 2020,Sở Giáo Dục và Đào Tạo,
3000/TB-SGDĐT,06/11/2020,Thông báo số 1 về tổ chức Hội thi Tuyên truyền ATGT năm học 2020-2021,Sở Giáo Dục và Đào Tạo,
7544/UBND-CN2,06/11/2020,"V/v kiểm tra, xác minh phản ánh của báo Lao động ngày 02/11/2020",UBND tỉnh Quảng Ninh,
7550/UBND-NLN3,06/11/2020,"V/v triển khai kế hoạch phòng, chống thiên tai ngành Giáo dục và Đào tạo giai đoạn 2020-2025",UBND tỉnh Quảng Ninh,
7582/UBND-DL1,06/11/2020,Hỏa Tốc: V/v tăng cường phòng chống dịch COVID-19,UBND tỉnh Quảng Ninh,
7589/UBND-NLN3,06/11/2020,"V/v tập trung chỉ đạo triển khai các biện pháp kiểm soát, phòng, chống bệnh Viêm da nổi cục trên trâu, bò",UBND tỉnh Quảng Ninh,
7593/UBND-XD5,06/11/2020,V/v tăng cường chấn chỉnh công tác quản lý trật tự xây dựng trên địa bàn tỉnh,UBND tỉnh Quảng Ninh,
7595/UBND-DL2,06/11/2020,"V/v đề xuất các hoạt động xúc tiến, quảng bá du lịch năm 2021",UBND tỉnh Quảng Ninh,
181/TB-UBND,06/11/2020,"Thông báo về việc giao ông Nguyễn Văn Túc, Phó Giám đốc Sở Tư pháp điều hành Sở Tư pháp",UBND tỉnh Quảng Ninh,
4153/QĐ-UBND,06/11/2020,"V/v tặng Bằng khen cho 20 tập thể, 10 cá nhân có thành tích xuất sắc trong phong trào thi đua ""Cả nước chung tay vì người nghèo - không để ai bị bỏ lại phía sau' và Chương trình mục tiêu quốc gia Giảm nghèo bền vững giai đonạ 2016-2020 trên địa bàn tỉnh Quảng Ninh",UBND tỉnh Quảng Ninh,
4155/QĐ-UBND,06/11/2020,"V/v công bố danh mục thủ tục hành chính sửa đổi, bổ sung; thủ tục hành chính bãi bỏ thuộc phạm vi, chức năng quản lý của sở Y tế",UBND tỉnh Quảng Ninh,
4156/QĐ-UBND,06/11/2020,"V/v tặng Bằng khen cho 06 tập thể, 04 cá nhân thuộc Ủy ban Mặt trận Tổ quốc Việt Nam tỉnh Quảng Ninh có thành tích xuất sắc nhân dịp kỷ niệm 90 năm Ngày truyền thống (18/11/1930-18/11/2020)",UBND tỉnh Quảng Ninh,
161/BC-UBND,06/11/2020,"Báo cáo kết quả thực hiện nhiệm vụ kinh tế - xã hội năm 2020, phương hướng nhiệm vụ công tác năm 2021",Phường Trưng Vương Thành Phố Uông Bí,
2987/SGDĐT-VP,05/11/2020,"V/v triệu tập đại biểu tham dự Kỷ niệm Ngày Nhà Giáo Việt Nam, trao tặng danh hiệu Nhà Giáo Ưu tú lần thứ XV; tuyên dương tập thể, cá nhân tiêu biểu năm học 2019-2020; Kỷ niệm chương “Vì sự nghiệp giáo dục” năm 2020",Sở Giáo Dục và Đào Tạo,
7505/UBND-TM4,05/11/2020,V/v thực hiện chính sách cho vay trả lương ngừng việc do ảnh hưởng bởi đại dịch Covid-19,UBND tỉnh Quảng Ninh,
769/HĐND-TH3,05/11/2020,"V/v tuyên truyền kỳ họp thứ 21, HĐND tỉnh khóa XIII",HĐND tỉnh Quảng Ninh,
7501/UBND-XD6,05/11/2020,"V/v triển khai dịch vụ thanh toán trực tuyến phí, lệ phí cho dịch vụ công qua các đơn vị Trung gian thanh toán",UBND tỉnh Quảng Ninh,
2996/SGDĐT-KTKĐ,05/11/2020,Hướng dẫn tổ chức Kỳ thi chọn học sinh giỏi cấp tỉnh trung học phổ thông năm 2020,Sở Giáo Dục và Đào Tạo,
2303/QĐ-SGDĐT,05/11/2020,Quy chế hoạt động Cổng thông tin điện tử Sở Giáo dục và Đào tạo Quảng Ninh,Sở Giáo Dục và Đào Tạo,
2992/SGDĐT-CTTT,05/11/2020,"Hướng dẫn tổ chức hoạt độngngoại khóa tuyên truyền giáo dục đạo đức, phòng, chóng tội phạm",Sở Giáo Dục và Đào Tạo,
7520/UBND-TH2,05/11/2020,"V/v đôn đốc thực hiện các nội dung chỉ đạo của UBND tỉnh, Chủ tịch UBND tỉnh",UBND tỉnh Quảng Ninh,
179/TB-UBND,05/11/2020,"Kết luận của đồng chí Cao Tường Huy - Phó Chủ tịch Thường trực UBND tỉnh tại buổi làm việc với Công ty cổ phần tập đoàn INDEVCO về việc giải quyết những tồn tại, vướng mắc của dự án Trung tâm xử lý chất thải rắn tại xã Vũ Oai, Hòa Bình, thành phố Hạ Long",UBND tỉnh Quảng Ninh,
2990/SGDĐT-TTr,05/11/2020,Tiếp tục triển khai thực hiện Chỉ thị số 10 của Thủ tướng Chính phủ,Sở Giáo Dục và Đào Tạo,
2991/KH-SGDĐT,05/11/2020,"Kế hoạch Hội nghị tập huấn hướng dẫn giáo viên sử dụng phòng ngoại ngữ cấp tiểu học, trung học cơ sở",Sở Giáo Dục và Đào Tạo,
2605/UBND-VHTT,05/11/2020,V/v triển khai chiến dịch rà quét xử lý mã độc năm 2020,UBND Huyện Hải Hà,
7492/UBND-DL1,04/11/2020,V/v thực hiện các giải pháp để kích cầu du lịch Quảng Ninh trong tháng 11-12/2020,UBND tỉnh Quảng Ninh,
768/TB-HĐND,04/11/2020,Thông báo lịch công tác tháng 11 năm 2020 của Thường trực HĐND tỉnh,HĐND tỉnh Quảng Ninh,
706/QĐ-VP,04/11/2020,"V/v phân công bổ sung công việc chuyên môn đối với lãnh đạo Văn phòng Đoàn ĐBQH, HĐND và UBND tỉnh",Văn phòng Đoàn ĐBQH và HĐND,
2298/QĐ-SGDĐT,04/11/2020,QĐ THÀNH LẬP HỘI ĐỒNG THI NGHỀ PHỔ THÔNG 2020,Sở Giáo Dục và Đào Tạo,
705/QĐ-VP,04/11/2020,"v/v phân công công việc chuyên môn đối với chuyên viên Phòng Thư ký - Tổng hợp, Văn phòng Đoàn ĐBQH, HĐND và UBND tỉnh",Văn phòng Đoàn ĐBQH và HĐND,
7499/UBND-XD6,04/11/2020,"V/v triển khai các nhiệm vụ nhằm đảm bảo mục tiêu tăng trưởng kinh tế của tỉnh, trong lĩnh vực sản xuất điện",UBND tỉnh Quảng Ninh,
2977/BC-SGDĐT,04/11/2020,Báo cáo Hội thao Giáo dục quốc phòng và an ninh học sinh trung học phổ thông tỉnh Quảng Ninh năm 2020,Sở Giáo Dục và Đào Tạo,
